Date_time,totalU,day,month,year,quarter,dayofweek,dayofyear,totalU_lag1,totalU_lag2,totalU_lag3
2014-01-23,299453.0,23,1,2014,1,3,23,265199.0,227988.31,228007.01
2014-03-05,290103.0,5,3,2014,1,2,64,299453.0,265199.0,227988.31
2014-04-05,304337.0,5,4,2014,2,5,95,290103.0,299453.0,265199.0
2014-05-05,293623.0,5,5,2014,2,0,125,304337.0,290103.0,299453.0
2014-06-06,307582.0,6,6,2014,2,4,157,293623.0,304337.0,290103.0
2014-07-07,287573.0,7,7,2014,3,0,188,307582.0,293623.0,304337.0
2014-08-12,312521.0,12,8,2014,3,1,224,287573.0,307582.0,293623.0
2014-09-13,284295.0,13,9,2014,3,5,256,312521.0,287573.0,307582.0
2014-10-13,271678.0,13,10,2014,4,0,286,284295.0,312521.0,287573.0
2014-11-01,297264.0,1,11,2014,4,5,305,271678.0,284295.0,312521.0
2014-12-02,287331.0,2,12,2014,4,1,336,297264.0,271678.0,284295.0
2015-01-08,314666.0,8,1,2015,1,3,8,287331.0,297264.0,271678.0
2015-02-02,295383.0,2,2,2015,1,0,33,314666.0,287331.0,297264.0
2015-03-03,286473.88,3,3,2015,1,1,62,295383.0,314666.0,287331.0
2015-04-12,296560.0,12,4,2015,2,6,102,286473.88,295383.0,314666.0
2015-05-06,333696.0,6,5,2015,2,2,126,296560.0,286473.88,295383.0
2015-08-20,389581.06,20,8,2015,3,3,232,333696.0,296560.0,286473.88
2015-10-11,321167.0,11,10,2015,4,6,284,389581.06,333696.0,296560.0
2015-11-11,327932.0,11,11,2015,4,2,315,321167.0,389581.06,333696.0
2015-12-12,388439.59,12,12,2015,4,5,346,327932.0,321167.0,389581.06
2016-01-13,386529.0,13,1,2016,1,2,13,388439.59,327932.0,321167.0
2016-02-10,391061.0,10,2,2016,1,2,41,386529.0,388439.59,327932.0
2016-05-10,421476.0,10,5,2016,2,1,131,391061.0,386529.0,388439.59
2016-06-08,413633.0,8,6,2016,2,2,160,421476.0,391061.0,386529.0
2016-07-18,401597.68,18,7,2016,3,0,200,413633.0,421476.0,391061.0
2016-08-20,403755.0,20,8,2016,3,5,233,401597.68,413633.0,421476.0
2016-09-19,405647.0,19,9,2016,3,0,263,403755.0,401597.68,413633.0
2016-10-19,396616.0,19,10,2016,4,2,293,405647.0,403755.0,401597.68
2016-11-20,406021.0,20,11,2016,4,6,325,396616.0,405647.0,403755.0
2016-12-21,404459.0,21,12,2016,4,2,356,406021.0,396616.0,405647.0
2017-01-22,411257.0,22,1,2017,1,6,22,404459.0,406021.0,396616.0
2017-02-23,408584.0,23,2,2017,1,3,54,411257.0,404459.0,406021.0
2017-03-16,389196.5,16,3,2017,1,3,75,408584.0,411257.0,404459.0
2017-04-30,420706.0,30,4,2017,2,6,120,389196.5,408584.0,411257.0
2017-05-30,426426.0,30,5,2017,2,1,150,420706.0,389196.5,408584.0
2017-07-31,450791.0,31,7,2017,3,0,212,426426.0,420706.0,389196.5
2017-09-12,450439.0,12,9,2017,3,1,255,450791.0,426426.0,420706.0
2017-10-13,449273.0,13,10,2017,4,4,286,450439.0,450791.0,426426.0
2017-11-02,489225.0,2,11,2017,4,3,306,449273.0,450439.0,450791.0
2017-12-27,506917.95,27,12,2017,4,2,361,489225.0,449273.0,450439.0
2018-03-22,485705.0,22,3,2018,1,3,81,506917.95,489225.0,449273.0
2018-05-14,497365.0,14,5,2018,2,0,134,485705.0,506917.95,489225.0
2018-07-18,456302.0,18,7,2018,3,2,199,497365.0,485705.0,506917.95
2018-09-15,444785.0,15,9,2018,3,5,258,456302.0,497365.0,485705.0
2018-11-22,428956.0,22,11,2018,4,3,326,444785.0,456302.0,497365.0
2018-12-23,388344.0,23,12,2018,4,6,357,428956.0,444785.0,456302.0
2019-01-27,376211.0,27,1,2019,1,6,27,388344.0,428956.0,444785.0
2019-03-08,373450.0,8,3,2019,1,4,67,376211.0,388344.0,428956.0
2019-04-14,356279.0,14,4,2019,2,6,104,373450.0,376211.0,388344.0
2019-05-16,592977.0,16,5,2019,2,3,136,356279.0,373450.0,376211.0
2019-07-01,584674.09,1,7,2019,3,0,182,592977.0,356279.0,373450.0
2019-08-01,591573.18,1,8,2019,3,3,213,584674.09,592977.0,356279.0
2019-09-08,628258.18,8,9,2019,3,6,251,591573.18,584674.09,592977.0
2019-10-08,615377.18,8,10,2019,4,1,281,628258.18,591573.18,584674.09
2019-11-20,621990.27,20,11,2019,4,2,324,615377.18,628258.18,591573.18
2019-12-31,586053.27,31,12,2019,4,1,365,621990.27,615377.18,628258.18
2020-02-12,591333.27,12,2,2020,1,2,43,586053.27,621990.27,615377.18
2020-03-16,592730.27,16,3,2020,1,0,76,591333.27,586053.27,621990.27
2020-04-23,568860.27,23,4,2020,2,3,114,592730.27,591333.27,586053.27
2020-06-17,771441.0,17,6,2020,2,2,169,568860.27,592730.27,591333.27
2020-08-21,731511.0,21,8,2020,3,4,234,771441.0,568860.27,592730.27
2020-12-10,740047.0,10,12,2020,4,3,345,731511.0,771441.0,568860.27
2021-04-25,752180.0,25,4,2021,2,6,115,740047.0,731511.0,771441.0
2021-07-25,687093.0,25,7,2021,3,6,206,752180.0,740047.0,731511.0
2021-09-09,688523.0,9,9,2021,3,3,252,687093.0,752180.0,740047.0
2021-10-10,682924.0,10,10,2021,4,6,283,688523.0,687093.0,752180.0
2021-11-13,660605.0,13,11,2021,4,5,317,682924.0,688523.0,687093.0
2021-12-22,630267.0,22,12,2021,4,2,356,660605.0,682924.0,688523.0
2022-01-28,625141.0,28,1,2022,1,4,28,630267.0,660605.0,682924.0
2022-02-28,580404.0,28,2,2022,1,0,59,625141.0,630267.0,660605.0
2022-04-04,572913.0,4,4,2022,2,0,94,580404.0,625141.0,630267.0
2022-05-02,545061.0,2,5,2022,2,0,122,572913.0,580404.0,625141.0
2022-06-02,612755.0,2,6,2022,2,3,153,545061.0,572913.0,580404.0
2022-08-02,671583.0,2,8,2022,3,1,214,612755.0,545061.0,572913.0
2022-09-02,647661.85,2,9,2022,3,4,245,671583.0,612755.0,545061.0
2022-10-02,630908.85,2,10,2022,4,6,275,647661.85,671583.0,612755.0
2022-11-28,612766.0,28,11,2022,4,0,332,630908.85,647661.85,671583.0
2023-02-05,565378.0,5,2,2023,1,6,36,612766.0,630908.85,647661.85
2023-03-05,544192.0,5,3,2023,1,6,64,565378.0,612766.0,630908.85
2023-04-05,519097.04,5,4,2023,2,2,95,544192.0,565378.0,612766.0
2023-05-05,498069.0,5,5,2023,2,4,125,519097.04,544192.0,565378.0
